terim,tfidf_ortalama
pozitif,0.06365557941099864
pozitif pozitif,0.03886328307407099
negatif,0.022437761558670735
güzel,0.013147774006804983
negatif negatif,0.012750351745784887
yap,0.010021092209436065
gel,0.009143543658465519
türki,0.008762978450791888
yer,0.008380578201432178
şarkı,0.007972941340986932
çocuk,0.007696563442814193
gerçek,0.007259383927721456
ülke,0.006831269051901894
teşekkür,0.0066008041739798766
hoca,0.006587369579190039
ada,0.0064314149911444815
zama,0.006202137310301126
baş,0.006200121056502478
yıl,0.0058846113479612055
dünya,0.005603479505472805
okul,0.005498477573911126
sonra,0.005467265994782147
kuş,0.005366919809468495
ver,0.005168045523882939
bun,0.004909490809981447
son,0.004760389308003339
gün,0.004653196801777505
gör,0.004619441975060606
geç,0.004616257767586105
burha,0.004616119756938701
